ZINC000001541480	COc1ccc(CCCCNCCOc2cc(F)cc3c2OCC=C3)cc1
ZINC000064448783	CCN1CCC[C@H]1CNC(=O)c1c(OC)c(O)cc(I)c1OC
ZINC000001481744	CC(C)(C)[C@@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@H]2C1
ZINC000003779080	Nc1cccc(OCCCNC[C@H]2COc3ccc(O)cc3O2)c1
ZINC000003831001	CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c43)C[C@H]2N(C)C1
ZINC000013446574	CCCN(CCc1ccc(Nc2ccc([N+](=O)[O-])c3nonc32)cc1)[C@H]1CCc2c(O)cccc2C1
ZINC000013775922	Nc1cc(OCCCNC[C@@H]2CCc3ccc(O)cc3O2)ccc1Cl
ZINC000013775923	Nc1cc(OCCCNC[C@H]2CCc3ccc(O)cc3O2)ccc1Cl
ZINC000013775932	Cc1noc2cc(OCCCNC[C@@H]3CCc4ccc(O)cc4O3)ccc12
ZINC000013775933	Cc1noc2cc(OCCCNC[C@H]3CCc4ccc(O)cc4O3)ccc12
ZINC000013775973	Oc1ccc2c(c1)O[C@H](CNCc1ccc(Cl)cc1)CC2
ZINC000013775974	Oc1ccc2c(c1)O[C@@H](CNCc1ccc(Cl)cc1)CC2
ZINC000013826580	C=CCN1CC[C@@H]2Cc3c(O)cccc3C[C@H]21
ZINC000019228902	OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
ZINC000027431219	CCCN(C)[C@@H]1Cc2ccc(O)cc2[C@H]1c1ccccc1
ZINC000027724935	O=C1CCc2ccc(OCCCCN3CCN(c4ccccc4F)CC3)cc2N1
ZINC000064539740	O=C1NCc2ccc(OCCCN3CCN(c4cccc5c4CCC5)CC3)cc21
ZINC000169325642	Cc1cc(C)c2c(N)c(C(=O)NCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)sc2n1
ZINC000013780377	COc1ccc(CCCCNCCOc2cc(F)cc3c2O[C@H](C)CC3)cc1
ZINC000013780378	COc1ccc(CCCCNCCOc2cc(F)cc3c2O[C@@H](C)CC3)cc1
ZINC000013820634	COc1cc(Br)cc(C(=O)NC2CCN(Cc3ccccc3)CC2)c1OC
ZINC000101023321	O=C(CCCN1[C@H]2CC[C@H]1CC(O)(c1ccc(Cl)cc1)C2)c1ccc(F)cc1
ZINC000150033165	N#Cc1cnn2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc12
ZINC000022064446	CCCN1CCO[C@@H]2c3cc(O)ccc3CC[C@H]21
ZINC000013775979	Oc1ccc2c(c1)O[C@@H](CNCc1ccccc1)CO2
ZINC000064539652	Cn1nnc(Cc2ccc3c(c2)[C@H](N2CCN(C)CC2)Cc2ccccc2S3)n1
ZINC000064539654	Cn1nnc(Cc2ccc3c(c2)[C@@H](N2CCN(C)CC2)Cc2ccccc2S3)n1
ZINC000013820632	COc1cc(Br)c(O)c(C(=O)NC2CCN(Cc3ccccc3)CC2)c1OC
ZINC000001548439	Oc1ccc2[nH]cc(CCCCN3CC=C(c4ccccc4)CC3)c2c1
ZINC000001561184	CN1CCc2cc(O)cc3c2[C@H]1Cc1ccc(O)c(O)c1-3
ZINC000006019118	COc1cccc(C(=O)NC2CCN(Cc3ccc(F)cc3)CC2)c1OC
ZINC000169327097	COc1ccccc1N1CCN(CCCNC(=O)OC(C)(C)C)CC1
ZINC000000009073	CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
ZINC000012356076	Oc1ccc2c(c1)O[C@H](CNCCCc1ccccc1)CC2
ZINC000012356077	Oc1ccc2c(c1)O[C@@H](CNCCCc1ccccc1)CC2
ZINC000013775930	Oc1ccc2c(c1)O[C@H](CNCCCOc1ccc3ocnc3c1)CC2
ZINC000013775931	Oc1ccc2c(c1)O[C@@H](CNCCCOc1ccc3ocnc3c1)CC2
ZINC000019368911	CN1CCN([C@H]2Cc3ccccc3Sc3ccc(Cl)cc32)CC1
ZINC000027722725	O=C1CCc2ccc(OCCCCN3CCN(c4ccccc4)CC3)cc2N1
ZINC000058582822	Clc1cccc(N2CCN(CCCCNc3ccccn3)CC2)c1Cl
ZINC000098083710	COc1ccccc1N1CCN(CCCc2ccc3[nH]c(=S)[nH]c3c2)CC1
ZINC000103268391	Oc1ccc2c(c1)O[C@@H](CNCc1ccc(OCCCCF)cc1)CC2
ZINC000026150459	O=C1Cc2c(c(Cl)ccc2OCCNCc2ccccc2)N1
ZINC000026469466	O=c1[nH]c2cccc(N3CCN(Cc4ccc(O)c(-c5ccccc5)c4)CC3)c2o1
ZINC000100907004	CN(C)C(=O)N[C@@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1
ZINC000026639910	CCN(C)CCc1c2ccccc2[nH]c1-c1ccc(C#N)cc1
ZINC000053098495	Fc1ccc(-c2ccc(CN3CCN(c4cccc5ccoc54)CC3)[nH]2)cc1
ZINC000002000209	Oc1ccc2c(c1O)-c1cccc3c1[C@@H](C2)N(CC1CC1)CC3
ZINC000013532216	CN1CCN(C2=Cn3cccc3Sc3ccc(Cl)cc32)CC1
ZINC000013820604	COc1ccc(Br)c(O)c1C(=O)NC[C@H]1CCCN1Cc1ccc(F)cc1
ZINC000022061336	CCN1CCC[C@@H]1CNC(=O)c1c(O)c(I)ccc1OC
ZINC000027425059	C=CCN(C)[C@@H]1Cc2ccc(O)cc2[C@H]1c1ccccc1
ZINC000028220760	CN1CCc2cc(F)cc3c2[C@H]1Cc1ccc(O)c(O)c1-3
ZINC000000538312	Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc43)CC1)CCCC2
ZINC000026163138	O=C1Cc2c(c(Cl)ccc2OCCN2Cc3ccccc3C2)N1
ZINC000064548960	Cn1nnc(-c2ccc3c(c2)[C@H](N2CCN(C)CC2)Cc2ccccc2S3)n1
ZINC000064548961	Cn1nnc(-c2ccc3c(c2)[C@@H](N2CCN(C)CC2)Cc2ccccc2S3)n1
ZINC000095560321	CCCN(CCCCCCCCCCN(CCC)[C@H]1CCc2c(O)cccc2C1)[C@H]1CCc2c(O)cccc2C1
ZINC000000538337	O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
ZINC000013446571	CCCN(CCc1ccc(Nc2ccc([N+](=O)[O-])c3nonc32)cc1)[C@@H]1CCc2c(O)cccc2C1
ZINC000013449392	CC(C)Oc1ccccc1N1CCN(Cc2ccc(CN3CCCCCC3=O)n2C)CC1
ZINC000013532219	CN1CCN(C2=Cn3cccc3Sc3ccc(Br)cc32)CC1
ZINC000008214574	CCCCCCCCCC(=O)OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1
